,smiles,IC50,pchembl,type,ID
1052,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)\C=C\c3cc(OC)ccc3OC,3.8,8.42,IC50,CHEMBL1085729
1053,CCOC(=O)CNC(=O)C(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)C(=O)c3cccs3,6.6,8.18,IC50,CHEMBL1085730
1055,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(s3)[N+](=O)[O-],10.3,7.99,IC50,CHEMBL1085731
1057,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)C3=CC(=O)CC(C)(C)O3,4.3,8.37,IC50,CHEMBL1085966
1058,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(C(=O)OC)c(NC(=O)OC(C)(C)C)c3,49.2,7.31,IC50,CHEMBL1085967
1059,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(Cl)c(NC(=O)OC(C)(C)C)c3,15.7,7.8,IC50,CHEMBL1085968
1060,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(C(=O)OC)c(N)c3,5.8,8.24,IC50,CHEMBL1085969
1061,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(Cl)c(N)c3,2.1,8.68,IC50,CHEMBL1085970
1062,CCOC(=O)CNC(=O)C(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)c2cccc3c4ccccc4C(=O)c23,8.8,8.06,IC50,CHEMBL1085971
1065,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cccc(C)c3[N+](=O)[O-],5.6,8.25,IC50,CHEMBL1085974
1066,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(C)cc3,6.2,8.21,IC50,CHEMBL1085975
1067,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cccc(F)c3F,5.9,8.23,IC50,CHEMBL1085976
1068,CCOC(=O)CNC(=O)C(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(F)ccc3F,11.5,7.94,IC50,CHEMBL1085977
1069,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(Br)ccc3NC(=O)OC(C)(C)C,23.8,7.62,IC50,CHEMBL1085978
1070,CCOC(=O)CNC(=O)C(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(Br)ccc3N,6.2,8.21,IC50,CHEMBL1085979
1072,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cncc(C)n3,6.1,8.21,IC50,CHEMBL1085980
1073,CCCCCC1OC(=O)C(=CC1C)C(=O)N[C@@H](CC2CCCCC2)C(=O)NC(COCc3ccccc3)C(=O)C(=O)NCC(=O)OC,42.3,7.37,IC50,CHEMBL1085981
1074,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)Cc3cccc4ccccc34,5.7,8.24,IC50,CHEMBL1085982
1075,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc4ccccc4n3C,7.1,8.15,IC50,CHEMBL1085983
1048,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(Cl)cc(c3)[N+](=O)[O-],22.8,7.64,IC50,CHEMBL1085984
1046,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cccc(c3)[N+](=O)[O-],1.9,8.72,IC50,CHEMBL1086235
864,[Na+].OP(=O)([O-])OC1C=C(Nc2cc3OCOc3cc12)c4ccccc4F,1620.0,5.79,IC50,CHEMBL1088572
866,CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCc5ccccc5)c4,1650.0,5.78,IC50,CHEMBL1089021
